store_num,product_id,upc,regular_price,sale_price,multi_buy,multi_price,promo_text,sale_start,sale_end,unit_price,unit_size
22865,,,,4.99,,,5.5-6 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,9.99,,,30 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,64 oz. btl.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,64 oz. btl. 10 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,16.9 oz. btls. 24 pack,"October 5, 2025","October 11, 2025",,
22865,,,,11.99,,,24 Pack 16.9 oz. btls.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,1 LTR. BTL.,"October 5, 2025","October 11, 2025",,
22865,,,,4.29,,,64 oz. btl.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,64 oz. btl.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,8 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"12 oz. 12 pack cans
Diet Pepsi","October 5, 2025","October 11, 2025",,
22865,,,,5.0,,,16 oz. 4 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,4.0,,,"15.2 oz USDA Orgainc
4 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12 oz. cans 8 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,12.99,,,12 oz. 24 pack,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,2 Liter Btl.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"12 oz. can 11 Varieties
5g sugar or less","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,33.8 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,10.5-10.75 oz. can,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12 oz. pkg. Gluten Free,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,28 oz. can,"October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,16.9 oz. btl. Select Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,"4.7-7.2 oz. pkg.
Past-A-Roni","October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,18.5-19 oz. 55 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,32 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,32 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,32 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,40 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,16 oz. can. ,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,18 oz. btl.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,12 Count,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,10 oz. can,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,16 oz. can,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,9 oz. btl.,"October 5, 2025","October 11, 2025",,
22865,,,,4.0,,,5 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12-14 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,14.5-24 oz. jar,"October 5, 2025","October 11, 2025",,
22865,,,,4.0,,,8 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,5.0,,,5 oz. can,"October 5, 2025","October 11, 2025",,
22865,,,,1.79,,,32 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,8-15 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,6 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,15-15.25 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,6 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,3.29,,,6 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.39,,,6 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,13.25 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,12-16 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,3.0,,,16.3 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,12 Count,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,6.1-7.2 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,4.47-7.23 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,"24 oz. 4 Varieties
Wheat & Gluten Free
Vega, OG1","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"1.25 oz. pkg.
7 varieties","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,7.9-10.6 oz. 6 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,5.49,,,"12-13 oz. 3 Varieties
Kosher, Wheat-Free
non-GMO","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,3.5 oz. bar 4 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,"9-10 oz. pkg.
3 Varieties.","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,20 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,18 oz. pkg. 6 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,10-13.58 oz,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,8.2-14 oz. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack
Sale Applicable Only in NH","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack 
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 Pack 
Sale Applicable in NH Only","October 5, 2025","October 11, 2025",,
22865,,,,14.99,,,"12 pack
SALE APPLICABLE IN NH ONLY","October 5, 2025","October 11, 2025",,
